datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2020-07-01,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.020129919052124023
2020-07-02,99957780.07474245,-5.529727786779404e-18,84439850.51509628,0.8443985051509628,42219.92525754814,0.00042219925257548136,84439850.51509626,15517929.559646193,0.02073085308074951
2020-07-03,102077522.27201806,0.02149381818103254,120264806.24407858,0.3584008738708937,70952.0786880909,0.00028744289247979076,100773929.46268152,1303592.809336543,0.019317984580993652
2020-07-06,106895910.28235878,0.047439022206486,144648245.05555382,0.23887177381223862,95021.91419270495,0.0002357995665340731,106243593.92224924,652316.3601095378,0.05667710304260254
2020-07-07,106757349.79525447,-0.0008659141577367972,190355814.72240037,0.4275895078316176,141019.71917935958,0.000430304628728586,105570560.60051538,1186789.1947390959,0.006004214286804199
2020-07-08,109792443.51814204,0.028668224204391732,216044969.34233966,0.24063125086195442,166469.63568881256,0.0002383902987313035,109109580.460885,682863.0572570367,0.016148924827575684
2020-07-09,114265643.41352466,0.04127236532584928,273809511.44254863,0.5261249340048069,224663.57920463078,0.0005300359628684489,112782171.46856485,1483471.9449598044,0.01398622989654541
2020-07-10,112433242.44682917,-0.01549821458381578,335206638.1545948,0.5373192228030556,286151.0847195369,0.0005381101762354261,110830500.40166438,1602742.0451648012,-0.01810455322265625
2020-07-13,116925503.24890111,0.04030390097018998,361364949.6628744,0.23265638292562943,325388.55198195635,0.00034898457438844446,89203687.16271909,27721816.086182028,0.021003007888793945
2020-07-14,116598212.52242804,-0.002491749433154217,410175427.0350122,0.41744936746805505,361330.22201331356,0.00030738948332638454,114649952.78783847,1948259.73458956,-0.00953441858291626
2020-07-15,115284448.94435279,-0.011041610371706999,437101255.3893291,0.2309283116080156,387661.76737842034,0.00022583146684209952,114551086.73354861,733362.2108041774,-0.012944400310516357
2020-07-16,108627036.49644828,-0.05750365108362887,465223264.1530097,0.24393583888539022,415797.4878184431,0.000244054776664663,107894386.65339983,732649.8430484533,-0.04810231924057007
2020-07-17,110399571.17182156,0.016676387343725726,491204504.98135394,0.2391784003901618,454769.3490609594,0.0003587676005852425,83724652.36167139,26674918.810150173,0.006299376487731934
2020-07-20,113571687.93341951,0.029051205790865547,538706196.3760368,0.4302706150982512,489893.24879890884,0.00031815250154626024,111687476.33647406,1884211.5969454441,0.02983701229095459
2020-07-21,112185815.17822531,-0.01171676455140378,594072980.5212269,0.48750516218133916,545073.2767717288,0.00048586077196606227,110730295.95399319,1455519.224232126,0.002294778823852539
2020-07-22,112749111.57481351,0.005423537189973252,639332596.4995701,0.4034343905817418,590220.8209900932,0.00040243540724502674,111562883.41475746,1186228.1600560509,0.004990339279174805
2020-07-23,112160840.82190815,-0.004519035033282645,717630225.0554945,0.6944412019066849,668974.3887173859,0.0006984850401684687,110141487.88684276,2019352.9350653887,-0.00042635202407836914
2020-07-24,108704727.0086165,-0.03042486103850019,761668182.3229662,0.39263219627067764,712610.2060411301,0.0003890468099559832,107533289.77833028,1171437.2302862238,-0.04389452934265137
2020-07-27,108601091.66872492,-0.0005583455937391609,804613018.0447898,0.39505950572342213,755550.7405888335,0.0003950199382249463,107481197.32122687,1119894.3474980667,0.0050737857818603516
2020-07-28,109544972.59324792,0.008908670740550913,828454423.1732492,0.2195319104266917,779161.1838068947,0.0002174052107144757,108910612.50976443,634360.0834834939,0.008790969848632812
2020-07-29,110780841.62470439,0.011787211539417263,883398443.4729421,0.5015658774566116,834521.917386704,0.0005053699158369374,109368415.71456765,1412425.9101367518,0.02424335479736328
2020-07-30,109831085.0400689,-0.007885930347114533,959232469.1102157,0.6845409777096546,910668.5011750549,0.0006873623874994109,107869689.41156577,1961395.6285031214,-0.004885613918304443
2020-07-31,110745784.17309189,0.008786386323922394,1009839771.92073,0.4607739493063519,960987.7116896799,0.0004581509005056934,109410892.34688178,1334891.826210104,0.008354544639587402
2020-08-03,117040168.67739792,0.05684205409100804,1011106471.9446447,0.011437907396410556,961621.0617016372,5.718953698205244e-06,116972610.22511448,67558.45228344668,0.016242623329162598
2020-08-04,118907434.51354298,0.01639681108248795,1045652937.758484,0.2951676010401266,1013440.7604223962,0.0004427514015601903,84345229.94614092,34562204.56740207,0.0009410381317138672
2020-08-05,119307331.17842251,0.0035011546420866953,1078486240.6508443,0.27612489518997047,1029857.4118685763,0.00013806244759498443,117594846.15482682,1712485.0235956982,0.00027430057525634766
2020-08-06,118887630.43676494,-0.003154117031701448,1107413878.238086,0.24246320239936267,1073248.8682494387,0.00036369480359904334,88290899.28230847,30596731.154456466,-0.0030038952827453613
2020-08-07,118047121.05038756,-0.006665859927204542,1169531270.5675352,0.5224882698161669,1121269.9630580836,0.00040392002626536287,115691006.03234847,2356115.018039085,-0.011512219905853271
2020-08-10,117598761.01057634,-0.0033959977211153276,1217518667.2182682,0.4065105207457785,1168742.248797966,0.00040214691656579395,116320340.09997857,1278420.910597764,0.0035982131958007812
2020-08-11,116100599.939262,-0.01231178312231018,1267788860.4846933,0.4274721335023593,1219052.8790976985,0.00042781598944913906,114791615.59234902,1308984.3469129875,-0.009119868278503418
2020-08-12,113984736.58311567,-0.017624642346032195,1337143623.0141788,0.5973678220936703,1288684.6851547742,0.0005997540589239297,112191296.98707858,1793439.5960370898,-0.00729215145111084
2020-08-13,113967166.13082772,0.0001081824395546542,1367518603.7041912,0.2664828783269903,1318586.2843182725,0.0002623298527491402,113150391.18698265,816774.9438450793,-0.0025668740272521973
