instrument,datetime,$close,$volume
SH600000,2010-03-26,8.019139,229002160.0
SH600000,2010-03-29,8.278519,387230430.0
SH600000,2010-03-30,,
SH600000,2010-03-31,8.206467,150455360.0
SH600000,2010-04-01,8.231687,161497100.0
SH600000,2010-04-02,8.253302,113192680.0
SH600000,2010-04-06,8.282121,149367820.0
SH600000,2010-04-07,8.206467,140463000.0
SH600000,2010-04-08,8.1344185,130122020.0
SH600000,2010-04-09,8.264108,106572830.0
SH600000,2010-04-12,8.08038,160710100.0
SH600000,2010-04-13,8.296531,233349400.0
SH600000,2010-04-14,8.242495,107885140.0
SH600000,2010-04-15,8.202867,117451550.0
SH600000,2010-04-16,7.9470887,152574450.0
SH600000,2010-04-19,7.406716,342180000.0
SH600000,2010-04-20,7.3995113,177283820.0
SH600000,2010-04-21,7.5147915,154719730.0
SH600000,2010-04-22,7.2734246,193201650.0
SH600000,2010-04-23,7.3454747,232541660.0
SH600000,2010-04-26,7.370692,128187720.0
SH600000,2010-04-27,7.244605,160539790.0
SH600000,2010-04-28,,
SH600000,2010-04-29,7.2734246,150163710.0
SH600000,2010-04-30,7.417524,145082320.0
SH600000,2010-05-04,7.2734246,128162680.0
SH600000,2010-05-05,7.3166547,151933400.0
SH600000,2010-05-06,6.8591385,207272020.0
SH600000,2010-05-07,6.6826167,170877090.0
SH600000,2010-05-10,6.837522,125912970.0
SH600000,2010-05-11,6.7546654,164875730.0
SH600000,2010-05-12,6.913176,225206780.0
SH600000,2010-05-13,7.1005054,216615740.0
SH600000,2010-05-14,6.9888277,106374376.0
SH600000,2010-05-17,6.722243,121595930.0
SH600000,2010-05-18,6.9708157,172571140.0
SH600000,2010-05-19,6.9383936,111163770.0
SH600000,2010-05-20,6.812306,107918240.0
SH600000,2010-05-21,6.927585,113193490.0
SH600000,2010-05-24,7.111313,171856860.0
SH600000,2010-05-25,6.8951616,145750190.0
SH600000,2010-05-26,6.884355,71041064.0
SH600000,2010-05-27,6.9564047,86832290.0
SH600000,2010-05-28,6.89156,89764616.0
SH600000,2010-05-31,6.6790137,143733660.0
SH600000,2010-06-01,6.635783,116138696.0
SH600000,2010-06-02,6.628578,87399010.0
SH600000,2010-06-03,6.556529,115114910.0
SH600000,2010-06-04,6.545721,79957610.0
SH600000,2010-06-07,6.3547893,131603150.0
SH600000,2010-06-08,6.2683296,111177980.0
SH600000,2010-06-09,6.6646028,258768130.0
SH600000,2010-06-10,6.4684787,111061256.0
SH600000,2010-06-11,6.525137,133811480.0
SH600000,2010-06-17,6.5393023,101441390.0
SH600000,2010-06-18,6.562909,139323620.0
SH600000,2010-06-21,6.836756,209512210.0
SH600000,2010-06-22,6.8414793,91149784.0
