,,risk
excess_return_without_cost,mean,0.0021711409608057616
excess_return_without_cost,std,0.012715559158273805
excess_return_without_cost,annualized_return,0.5167315486717713
excess_return_without_cost,information_ratio,2.6341532429423196
excess_return_without_cost,max_drawdown,-0.04907523403018092
excess_return_with_cost,mean,0.0018468810375502388
excess_return_with_cost,std,0.012729474838743872
excess_return_with_cost,annualized_return,0.43955768693695685
excess_return_with_cost,information_ratio,2.2382928832327837
excess_return_with_cost,max_drawdown,-0.05406816587316189
